"CODI_EQUIPAMENT","EQUIPAMENT","SECCIO","TIPUS_VIA","NOM_CARRER","NUM_CARRER_1","NUM_CARRER_2","CODI_BARRI","NUM_BARRI","CODI_DISTRICTE","NOM_DISTRICTE","CODI_POSTAL","CODI_POBLACIO","POBLACIO","LATITUD","LONGITUD","X_ETRS89","Y_ETRS89","X_ED50","Y_ED50","TELEFON_NUM","TELEFON_TIPUS","TELEFON_INFO_COM","HORARI_PERIODE_INICI","HORARI_PERIODE_FI","HORARI_DIES","HORARI_HORES_INICI","HORARI_HORES_FI","HORARI_OBSERVACIONS",
"297122514","Punt Verd de Zona - Deixalleria Sant Andreu","#","C","Caracas","46","46","59","el Bon Pastor","09","Sant Andreu","08030","019","BARCELONA","41.44555","2.202367","433371.318","4588526.246","433463.276","4588727.241","","No tenen telèfon","","01/01","31/12","1111111","08:00:00","18:30:00","Festius tancat",
"297122514","Punt Verd de Zona - Deixalleria Sant Andreu","#","C","Caracas","46","46","59","el Bon Pastor","09","Sant Andreu","08030","019","BARCELONA","41.44555","2.202367","433371.318","4588526.246","433463.276","4588727.241","","No tenen telèfon","","01/01","31/12","1111100","09:00:00","13:00:00"," ",
"297122918","Punt Verd de Zona - Deixalleria de Les Corts-Pedralbes","#","Av","Esplugues","58","60","21","Pedralbes","04","Les Corts","08034","019","BARCELONA","41.388879","2.10827","425446.31","4582311.395","425538.196","4582512.331","","No tenen telèfon","","01/01","31/12","1111111","08:00:00","18:30:00","Festius tancat",
"297122918","Punt Verd de Zona - Deixalleria de Les Corts-Pedralbes","#","Av","Esplugues","58","60","21","Pedralbes","04","Les Corts","08034","019","BARCELONA","41.388879","2.10827","425446.31","4582311.395","425538.196","4582512.331","","No tenen telèfon","","01/01","31/12","1111100","09:00:00","13:00:00"," ",
"297123401","Punt Verd de Zona - Deixalleria de Vallbona","#","C","Castelladral","6","10","56","Vallbona","08","Nou Barris","08033","019","BARCELONA","41.465022","2.186038","432027.665","4590700.742","432119.61","4590901.757","","No tenen telèfon","","01/01","31/12","1111111","08:00:00","18:30:00","Festius tancat",
"297123401","Punt Verd de Zona - Deixalleria de Vallbona","#","C","Castelladral","6","10","56","Vallbona","08","Nou Barris","08033","019","BARCELONA","41.465022","2.186038","432027.665","4590700.742","432119.61","4590901.757","","No tenen telèfon","","01/01","31/12","1111100","09:00:00","13:00:00"," ",
"94075112530","Punt Verd de Zona - Deixalleria de Collserola","#","C","Collserola","2","2","28","Vallcarca i els Penitents","06","Gràcia","08035","019","BARCELONA","41.416269","2.136213","427812.811","4585328.488","427904.718","4585529.452","","No tenen telèfon","","01/01","31/12","1111111","08:00:00","18:30:00","Festius tancat",
"94075112530","Punt Verd de Zona - Deixalleria de Collserola","#","C","Collserola","2","2","28","Vallcarca i els Penitents","06","Gràcia","08035","019","BARCELONA","41.416269","2.136213","427812.811","4585328.488","427904.718","4585529.452","","No tenen telèfon","","01/01","31/12","1111100","09:00:00","13:00:00"," ",
"98162102313","Punt Verd de Zona - Deixalleria de Montjuïc","#","C","Foc","56","56","12","la Marina del Prat Vermell","03","Sants-Montjuïc","08038","019","BARCELONA","41.355058","2.139819","428046.695","4578529.921","428138.606","4578730.822","","No tenen telèfon","","01/01","31/12","1111111","08:00:00","18:30:00","Festius tancat",
"98162102313","Punt Verd de Zona - Deixalleria de Montjuïc","#","C","Foc","56","56","12","la Marina del Prat Vermell","03","Sants-Montjuïc","08038","019","BARCELONA","41.355058","2.139819","428046.695","4578529.921","428138.606","4578730.822","","No tenen telèfon","","01/01","31/12","1111100","09:00:00","13:00:00"," ",
"99138133135","Punt Verd de Zona - Deixalleria Vall d'Hebron","#","C","Jorge Manrique","2","2","41","la Vall d'Hebron","07","Horta-Guinardó","08035","019","BARCELONA","41.431443","2.153346","429261.108","4586999.03","429353.028","4587200.01","","No tenen telèfon","","01/01","31/12","1111111","08:00:00","18:30:00","Festius tancat",
"99138133135","Punt Verd de Zona - Deixalleria Vall d'Hebron","#","C","Jorge Manrique","2","2","41","la Vall d'Hebron","07","Horta-Guinardó","08035","019","BARCELONA","41.431443","2.153346","429261.108","4586999.03","429353.028","4587200.01","","No tenen telèfon","","01/01","31/12","1111100","09:00:00","13:00:00"," ",
